,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX,,
2372,20181227,53.5248,53.8222,53.0292,53.0292,571770,0.9167,5.8346,24.1797,x,
2373,20181228,53.3266,54.0204,52.831,53.0292,781690,0.9178,9.5723,24.5764,x,
2374,20190102,53.123,53.8167,53.0239,53.1283,1081640,0.921,14.6649,24.9447,x,
2375,20190103,53.5194,53.6185,52.231,53.1283,1071350,0.9225,20.3385,25.7552,x,
2376,20190104,52.831,53.9213,52.1371,53.9213,1307310,0.9375,35.297,26.1479,x,
2377,20190107,54.8078,55.0061,54.015,54.1195,1175810,0.9418,50.7968,25.3423,x,
2378,20190108,54.516,54.7142,54.0204,54.516,1318810,0.9494,66.2967,24.5942,x,
2379,20190109,55.0116,55.6063,54.3178,55.309,1136370,0.9642,81.204,23.0266,x,
2380,20190110,55.309,55.309,54.516,54.516,794870,0.9513,90.1892,21.571,x,
2381,20190111,54.7087,55.0061,54.4114,54.7142,1115410,0.9558,90.5182,20.3185,x,
2382,20190114,54.7142,55.0116,54.4169,54.8134,759980,0.9585,86.998,19.1495,x,
2383,20190115,54.8134,55.6063,54.7142,55.4081,1071080,0.9699,86.998,18.1371,x,
2384,20190116,54.9125,55.8046,54.516,54.9125,706160,0.9622,83.2292,17.4001,x,
2385,20190117,54.8078,55.2043,54.6096,54.7142,460060,0.9599,81.7554,16.7157,x,
2386,20190118,54.7142,54.9125,54.3178,54.3178,542400,0.9544,75.3401,15.7061,x,
2387,20190121,54.1195,55.7054,54.0204,55.309,870530,0.9729,76.9167,15.6347,x,
2388,20190122,55.5016,55.5016,54.7087,54.7142,398340,0.9637,69.1602,15.5684,x,
2389,20190123,54.4169,55.0116,54.4169,54.9125,514720,0.9683,63.1168,15.0935,x,
2390,20190124,54.9125,55.1107,54.516,54.9125,463870,0.9691,59.1409,14.7704,x,
2391,20190125,55.0116,55.6063,54.9125,55.309,1008850,0.9768,65.7331,15.0382,x,
2392,20190128,55.5072,55.5072,55.0116,55.0116,336990,0.9722,57.611,15.2868,x,
2393,20190129,55.0061,56.1954,54.7087,56.201,973050,0.994,65.3675,16.2465,x,
2394,20190130,56.1954,56.6909,56.1954,56.201,1152720,0.9948,75.1798,17.5883,x,
2395,20190131,56.3002,56.8949,56.3002,56.3002,1147760,0.9975,85.9707,19.0094,x,
2396,20190201,56.4984,56.8949,56.0028,56.0028,827040,0.9932,85.2333,19.7795,x,
2397,20190211,56.4927,57.682,56.2945,57.5887,1395030,1.022,95.2991,21.1844,x,
2398,20190212,57.5829,58.4749,57.2856,58.0843,1683680,1.0316,95.2991,23.0506,x,
2399,20190213,58.0843,59.3729,58.0843,59.2738,1853680,1.0532,95.2991,25.2981,x,
2400,20190214,59.2678,59.7633,59.0696,59.6702,1629070,1.0607,95.2991,27.5805,x,
2401,20190215,59.472,59.472,58.679,58.7782,1249180,1.0454,93.1705,29.0161,x,
2402,20190218,58.9764,59.472,58.9764,59.472,1027840,1.0584,88.3132,30.3492,x,
2403,20190219,59.472,59.6702,58.4808,58.4808,1304520,1.0416,76.4884,30.7198,x,
2404,20190220,58.7722,59.0696,58.3758,58.5799,818480,1.0444,64.9087,30.8856,x,
2405,20190221,58.9705,59.5651,58.574,59.5711,2044240,1.0627,57.1459,31.4489,x,
2406,20190222,59.6702,61.8509,59.472,61.4544,2502840,1.0965,61.043,33.2765,x,
2407,20190225,61.95,63.3377,61.7518,62.8421,2079790,1.1211,65.9004,35.504,x,
2408,20190226,62.8421,62.9412,61.3553,62.4456,1976570,1.1139,74.4423,37.0169,x,
2409,20190227,62.2474,62.4456,61.0579,61.3553,1148480,1.0944,74.3794,38.0099,x,
2410,20190228,61.3553,61.95,59.9676,59.9676,2027080,1.0699,62.1421,37.5646,x,
2411,20190301,60.4571,61.6464,60.2589,61.6526,713500,1.1,51.3119,37.1511,x,
2412,20190304,61.6526,62.4456,61.6526,62.2474,1347480,1.1105,39.4825,37.2415,x,
2413,20190305,62.2474,63.2386,61.95,62.4456,1576750,1.1139,31.5825,37.7399,x,
2414,20190306,62.5384,62.7366,61.3491,62.1482,1081870,1.1083,30.0869,37.4672,x,
2415,20190307,62.5384,63.2322,62.0429,62.5447,1897450,1.1151,38.4008,37.4954,x,
2416,20190308,61.8509,62.4456,61.5535,62.2474,997370,1.1096,38.3797,36.9344,x,
