<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SSB,20210507,27.5,27.7,27.0,27.5,1122000
STB,20210507,24.25,24.55,23.8,24.0,48458300
OCB,20210507,23.5,23.9,23.2,23.4,4145900
MSB,20210507,22.4,22.45,22.0,22.2,4094300
MBB,20210507,31.3,31.7,31.2,31.6,24764800
HDB,20210507,28.4,30.5,28.4,30.0,15743900
EIB,20210507,26.0,26.0,25.4,25.7,406000
CTG,20210507,42.55,43.9,42.3,43.8,25587800
ACB,20210507,34.5,35.4,34.5,35.2,12059100
BID,20210507,40.6,41.2,40.5,40.65,3706600
CHDB2101,20210507,3.71,3.77,3.4,3.77,436600
CMBB2010,20210507,15.22,16.0,15.22,15.85,272700
CMBB2101,20210507,6.55,7.0,6.2,7.0,705500
CMBB2102,20210507,1.42,1.42,1.42,1.42,23900
CSTB2007,20210507,6.65,6.77,6.03,6.61,450400
CSTB2010,20210507,6.15,6.3,6.1,6.28,327000
CSTB2014,20210507,11.8,12.6,11.8,12.3,212500
CSTB2101,20210507,6.1,6.1,5.5,6.0,304300
CSTB2102,20210507,7.5,8.05,7.0,7.6,228500
CSTB2103,20210507,6.25,6.8,6.21,6.73,690900
CSTB2104,20210507,8.0,8.0,5.89,7.65,751000
CTCB2012,20210507,25.5,26.43,24.95,25.56,324100
CTCB2101,20210507,18.61,20.1,18.48,19.2,186700
CTCB2102,20210507,8.5,8.8,8.0,8.5,490300
CTCB2103,20210507,9.7,9.89,9.0,9.68,572700
CTCB2104,20210507,5.4,5.4,5.4,5.4,15000
CVPB2015,20210507,34.0,36.05,32.27,35.31,201300
CVPB2101,20210507,12.4,13.3,12.4,13.2,172000
CVPB2102,20210507,12.98,13.55,12.5,12.7,114500
CVPB2103,20210507,13.0,13.85,12.7,13.6,268500
CVPB2104,20210507,7.34,7.34,7.0,7.34,830300
LPB,20210507,20.8,21.8,20.5,21.6,19607200
VPB,20210506,60.6,61.9,60.3,61.8,28868100
VIB,20210506,55.0,58.8,55.0,58.5,2135700
VCB,20210506,101.2,101.7,99.0,99.3,1161200
TPB,20210506,28.45,28.9,28.1,28.15,3732900
TCB,20210506,45.1,47.45,45.05,47.1,26766000
OCB,20210506,23.9,24.05,23.6,23.65,2905700
LPB,20210506,21.3,21.35,20.75,20.8,17204800
MBB,20210506,31.7,32.1,31.35,31.6,18915500
HDB,20210506,29.3,29.45,28.6,28.8,5442700
EIB,20210506,26.2,26.7,25.8,25.8,956400
CTG,20210506,43.0,43.7,42.7,42.9,19927200
ACB,20210506,35.3,35.35,34.65,34.8,7783800
BID,20210506,41.9,41.9,41.2,41.25,2246100
CHDB2101,20210506,3.37,3.37,3.1,3.37,346400
CMBB2010,20210506,15.72,16.4,15.5,15.8,375400
CMBB2101,20210506,6.55,6.85,6.35,6.57,606500
CSTB2007,20210506,6.78,6.95,6.7,6.75,234300
CSTB2010,20210506,6.35,6.47,6.24,6.33,535600
CSTB2014,20210506,12.9,13.0,12.53,12.69,170900
CSTB2101,20210506,6.49,6.5,6.0,6.1,389600
CSTB2102,20210506,7.9,8.15,7.0,7.65,222700
CSTB2103,20210506,6.99,6.99,6.6,6.7,721800
CSTB2104,20210506,7.59,7.59,7.59,7.59,1037800
CTCB2012,20210506,22.5,26.0,22.5,25.5,1220400
CTCB2101,20210506,17.7,19.5,17.4,18.8,278200
CTCB2102,20210506,7.7,8.71,7.7,8.53,611900
CTCB2103,20210506,8.9,9.9,8.0,9.7,849000
CTCB2104,20210506,3.8,3.8,3.8,3.8,100
CVPB2015,20210506,34.93,36.5,34.93,36.5,768800
CVPB2101,20210506,12.6,13.65,12.6,13.0,99300
CVPB2102,20210506,12.8,13.3,12.45,12.88,118100
CVPB2103,20210506,13.0,14.0,12.63,13.55,199200
CVPB2104,20210506,5.91,5.91,5.91,5.91,162100
MSB,20210506,22.5,22.75,22.25,22.4,10988100
SSB,20210506,26.45,28.3,26.3,27.35,1078900
STB,20210506,24.55,24.9,24.3,24.4,34269000
TCB,20210505,44.4,46.4,44.35,45.95,28214800
SSB,20210505,26.4,26.5,26.1,26.45,647500
STB,20210505,24.15,25.1,24.05,24.7,51677300
OCB,20210505,23.3,24.15,23.3,23.85,3138700
LPB,20210505,21.4,21.9,21.15,21.3,19201000
MBB,20210505,31.55,32.4,31.5,31.7,25875400
MSB,20210505,21.7,22.3,21.7,22.3,16356000
HDB,20210505,27.3,29.1,27.3,29.05,17394400
EIB,20210505,26.3,26.9,26.2,26.2,2090300
CTG,20210505,43.6,44.4,43.35,43.35,22165900
BID,20210505,41.7,42.35,41.5,41.9,2692200
ACB,20210505,34.6,35.85,34.6,35.3,17558400
CHDB2101,20210505,2.59,2.97,2.59,2.97,443900
CMBB2010,20210505,15.3,16.5,15.3,16.0,348600
CMBB2101,20210505,6.25,6.72,6.0,6.55,647700
CSTB2007,20210505,6.54,7.05,6.54,6.78,514200
CSTB2010,20210505,6.2,6.6,6.07,6.31,640800
CSTB2014,20210505,12.6,13.2,12.26,12.68,527200
CSTB2101,20210505,6.1,6.6,6.1,6.5,218800
CSTB2102,20210505,8.2,8.98,7.7,8.0,346000
CSTB2103,20210505,6.55,7.17,6.3,6.97,483500
CSTB2104,20210505,5.89,5.89,5.89,5.89,242100
CTCB2012,20210505,21.8,24.76,21.8,24.32,864800
CTCB2101,20210505,16.8,18.6,16.8,18.3,290400
CTCB2102,20210505,6.8,8.15,6.8,8.08,532100
CTCB2103,20210505,8.45,9.2,8.45,9.0,575800
CVPB2015,20210505,34.0,36.29,33.43,35.5,420800
CVPB2101,20210505,12.4,14.0,12.4,12.6,82600
CVPB2102,20210505,12.1,13.05,12.0,12.8,180200
CVPB2103,20210505,12.5,14.35,12.5,13.0,280900
CVPB2104,20210505,4.51,4.51,4.51,4.51,152100
TPB,20210505,28.2,28.8,28.05,28.65,5462800
VCB,20210505,99.1,102.0,99.1,101.2,1826700
VIB,20210505,56.0,56.0,54.3,55.0,1127000
VPB,20210505,59.5,61.6,58.7,60.6,21968300
VPB,20210504,57.1,59.5,56.2,59.5,24846500
VIB,20210504,53.8,55.6,53.1,55.4,614200
VCB,20210504,99.0,99.6,98.0,99.1,1496300
TPB,20210504,26.95,28.0,26.9,28.0,4210300
TCB,20210504,40.3,43.4,40.1,43.4,31749800
SSB,20210504,26.05,26.5,26.05,26.4,1055500
STB,20210504,23.3,24.2,23.15,24.1,54307900
OCB,20210504,22.9,23.45,22.75,23.25,2745200
MSB,20210504,21.2,21.7,21.0,21.6,2921400
LPB,20210504,20.8,21.5,20.7,21.5,13765800
MBB,20210504,29.6,31.35,29.6,31.25,24397100
HDB,20210504,26.65,27.3,26.6,27.2,4476200
EIB,20210504,26.5,26.8,25.8,26.4,690000
CTG,20210504,40.05,43.0,40.05,43.0,25413700
ACB,20210504,34.0,34.75,33.5,34.45,9333200
BID,20210504,40.0,41.8,40.0,41.3,2171900
CHDB2101,20210504,2.12,2.59,2.12,2.59,249000
CMBB2010,20210504,13.5,15.6,13.5,15.3,249800
CMBB2101,20210504,3.99,5.66,3.99,5.65,727500
CSTB2007,20210504,6.3,6.61,6.15,6.54,530200
CSTB2010,20210504,5.46,6.2,5.46,6.1,373300
CSTB2014,20210504,10.8,12.3,10.54,12.3,263200
CSTB2101,20210504,4.53,6.0,4.53,5.95,184900
CSTB2102,20210504,6.76,8.6,6.76,8.2,111300
CSTB2103,20210504,5.12,6.35,5.1,6.35,746300
CTCB2012,20210504,18.6,22.5,18.6,21.76,555900
CTCB2101,20210504,14.0,16.5,13.6,16.3,251600
CTCB2102,20210504,5.22,6.72,5.0,6.72,704500
CTCB2103,20210504,6.2,7.85,6.0,7.85,759700
CVPB2015,20210504,31.87,34.0,30.87,34.0,127000
CVPB2101,20210504,10.8,12.7,10.37,12.4,117800
CVPB2102,20210504,10.1,12.0,10.1,11.9,139400
CVPB2103,20210504,11.42,12.6,10.69,12.5,200400
VPB,20210429,55.5,58.8,54.2,58.5,41536000
VCB,20210429,99.0,100.0,98.0,100.0,1615700
VIB,20210429,54.9,55.7,54.9,55.6,1907900
TPB,20210429,27.45,27.8,27.2,27.4,6020100
TCB,20210429,40.05,41.75,39.95,41.0,17966700
SSB,20210429,26.1,26.95,26.1,26.85,1199900
STB,20210429,24.25,24.6,23.85,23.9,38893400
OCB,20210429,23.75,23.75,23.45,23.5,2112700
MSB,20210429,21.65,21.75,21.35,21.7,3835500
LPB,20210429,20.75,21.5,20.7,21.5,23814400
MBB,20210429,30.5,30.95,30.35,30.35,18937600
HDB,20210429,26.85,27.45,26.85,27.25,4836700
EIB,20210429,26.5,27.45,26.5,27.45,2189100
CTG,20210429,40.0,40.85,39.75,40.8,14195400
BID,20210429,40.6,41.9,40.6,41.0,1949100
ACB,20210429,33.8,34.65,33.6,34.65,16646300
CHDB2101,20210429,2.28,2.5,2.27,2.5,260800
CMBB2010,20210429,14.73,15.1,14.68,14.84,269400
CMBB2101,20210429,4.68,4.96,4.61,4.85,461000
CSTB2007,20210429,6.9,6.9,6.44,6.5,387500
CSTB2010,20210429,6.39,6.39,6.01,6.06,552600
CSTB2014,20210429,12.15,12.7,12.0,12.05,320500
CSTB2101,20210429,5.8,5.8,5.26,5.3,260000
CSTB2102,20210429,7.11,8.5,7.11,7.7,332800
CSTB2103,20210429,6.08,6.08,5.5,5.6,683500
CTCB2012,20210429,19.45,20.4,18.8,20.01,149700
CTCB2101,20210429,14.3,14.4,13.3,14.2,243100
CTCB2102,20210429,5.01,5.5,5.01,5.3,469200
CTCB2103,20210429,5.83,6.6,5.83,6.43,827100
CVPB2015,20210429,29.97,32.8,29.22,32.8,263400
CVPB2101,20210429,9.9,11.05,9.2,11.05,522300
CVPB2102,20210429,10.1,11.1,9.2,10.1,606400
CVPB2103,20210429,10.7,11.42,9.57,11.42,377000
VPB,20210428,53.5,55.0,52.8,55.0,17660900
VIB,20210428,53.3,55.0,53.0,54.8,1008500
VCB,20210428,99.0,99.3,97.7,99.0,1426900
TPB,20210428,27.0,27.45,26.9,27.25,2403800
TCB,20210428,39.5,40.4,39.5,39.95,6065200
SSB,20210428,26.8,26.95,26.0,26.8,846500
STB,20210428,23.1,24.35,22.9,24.2,71125700
OCB,20210428,22.8,23.75,22.7,23.35,2861500
LPB,20210428,20.4,20.75,20.0,20.45,11756400
MBB,20210428,29.6,30.8,29.6,30.25,17389600
MSB,20210428,21.3,21.7,21.25,21.6,3178800
HDB,20210428,26.8,26.95,26.7,26.85,2933300
EIB,20210428,25.5,27.5,25.3,27.5,1976100
CTG,20210428,39.6,40.45,39.55,39.75,7986500
ACB,20210428,33.5,34.3,33.4,33.8,5675200
BID,20210428,40.35,40.9,40.35,40.6,1379200
CHDB2008,20210428,1.77,2.03,1.77,2.01,458800
CHDB2101,20210428,2.19,2.35,2.19,2.28,137100
CMBB2010,20210428,14.39,14.95,13.83,14.66,193300
CMBB2101,20210428,4.3,4.85,4.23,4.6,664600
CSTB2007,20210428,6.03,6.67,6.01,6.55,965900
CSTB2010,20210428,5.6,6.23,5.58,6.1,739700
CSTB2014,20210428,11.3,12.5,11.3,12.25,841400
CSTB2016,20210428,4.2,4.58,4.2,4.53,216000
CSTB2101,20210428,4.82,5.6,4.82,5.4,198100
CSTB2102,20210428,7.17,8.4,7.06,7.86,249000
CSTB2103,20210428,5.15,5.92,5.12,5.74,738200
CTCB2012,20210428,18.5,19.08,18.5,18.8,78800
CTCB2013,20210428,16.58,17.2,16.43,17.05,36100
CTCB2101,20210428,13.15,13.79,13.15,13.2,112600
CTCB2102,20210428,4.87,5.1,4.87,5.0,462500
CTCB2103,20210428,5.8,5.97,5.7,5.81,365500
CVPB2011,20210428,14.4,14.51,14.4,14.45,14400
CVPB2015,20210428,27.79,29.27,27.73,29.0,25800
CVPB2016,20210428,25.9,26.64,25.9,26.64,4200
CVPB2101,20210428,8.62,9.39,8.5,9.16,224200
CVPB2102,20210428,9.19,9.69,8.6,9.2,176700
CVPB2103,20210428,9.0,9.9,8.7,9.52,526100
ACB,20210427,33.0,34.0,32.65,34.0,6393000
BID,20210427,40.5,40.8,40.2,40.35,1978500
CHDB2008,20210427,1.86,1.99,1.86,1.97,606700
CHDB2101,20210427,2.15,2.3,2.13,2.26,152700
CMBB2010,20210427,13.96,14.2,13.5,13.5,95000
CMBB2101,20210427,4.28,4.45,4.2,4.3,195100
CSTB2007,20210427,5.8,6.15,5.68,6.03,2036300
CSTB2010,20210427,5.6,5.8,5.29,5.68,264300
CSTB2014,20210427,10.98,11.5,10.75,11.3,369300
CSTB2016,20210427,4.22,4.36,4.12,4.31,101500
CSTB2101,20210427,4.48,4.9,3.75,4.85,296200
CSTB2102,20210427,7.15,7.9,6.6,7.17,82300
CSTB2103,20210427,4.78,5.3,4.13,5.15,495300
CTCB2012,20210427,18.31,19.33,18.31,18.7,41000
CTCB2013,20210427,17.0,17.0,16.53,16.58,20900
CTCB2101,20210427,13.2,13.5,12.9,13.2,237900
CTCB2102,20210427,5.12,5.12,4.83,5.0,297200
CTCB2103,20210427,5.7,5.76,5.55,5.74,384000
CTG,20210427,39.55,40.1,39.3,39.65,7161800
CVPB2011,20210427,14.02,14.09,14.02,14.09,6100
CVPB2015,20210427,27.7,27.79,26.49,27.79,19800
CVPB2016,20210427,24.95,24.95,24.95,24.95,600
CVPB2101,20210427,8.3,8.6,7.93,8.5,122700
CVPB2102,20210427,8.45,8.9,8.3,8.52,106500
CVPB2103,20210427,8.86,9.0,8.4,8.89,264400
EIB,20210427,25.6,26.15,25.3,26.1,1146000
HDB,20210427,26.5,26.95,26.0,26.8,3175700
LPB,20210427,20.7,20.95,20.4,20.55,11327000
MBB,20210427,29.6,29.95,29.2,29.6,10054300
MSB,20210427,21.5,21.75,21.25,21.25,6336300
OCB,20210427,22.6,22.95,22.3,22.8,1635700
SSB,20210427,25.1,26.9,25.1,26.9,705300
STB,20210427,22.55,23.25,22.3,23.1,47546500
TCB,20210427,39.45,40.1,39.35,39.5,7370000
TPB,20210427,27.15,27.45,26.9,27.1,1963700
VCB,20210427,98.6,99.6,97.7,99.0,1191800
VIB,20210427,53.8,53.9,52.1,53.3,654900
VPB,20210427,52.4,53.4,51.4,53.2,16956600
VPB,20210426,51.5,53.5,51.4,53.0,18067600
VIB,20210426,53.5,54.4,52.8,53.8,994200
VCB,20210426,104.0,104.0,97.9,98.6,3595400
TPB,20210426,28.0,28.0,27.1,27.15,2466600
TCB,20210426,40.5,40.8,39.45,39.45,12155400
SSB,20210426,27.0,27.2,26.35,26.8,578000
STB,20210426,22.9,23.2,22.45,22.55,41629500
OCB,20210426,23.0,23.0,22.5,22.5,1941000
LPB,20210426,20.5,21.2,20.1,20.7,15801900
MBB,20210426,30.3,30.3,29.5,29.6,14253600
MSB,20210426,21.95,22.0,21.4,21.7,2819900
HDB,20210426,26.9,27.1,26.1,26.5,3955800
EIB,20210426,26.8,26.95,25.3,26.15,1419600
CTG,20210426,41.3,41.3,39.65,39.7,12681700
ACB,20210426,33.4,33.4,32.6,33.3,7119100
BID,20210426,41.75,42.0,40.5,40.5,3328300
CHDB2008,20210426,2.15,2.15,1.86,1.87,499400
CHDB2101,20210426,2.2,2.3,2.15,2.15,179100
CMBB2010,20210426,14.7,14.7,14.0,14.07,316300
CMBB2101,20210426,4.31,4.35,4.16,4.28,386700
CSTB2007,20210426,6.1,6.1,5.8,5.8,370600
CSTB2010,20210426,5.9,5.9,5.31,5.6,287600
CSTB2014,20210426,11.8,11.8,10.8,10.88,459100
CSTB2016,20210426,4.2,4.44,4.16,4.19,155900
CSTB2101,20210426,4.59,4.59,3.9,4.48,239300
CSTB2102,20210426,8.59,8.59,6.21,7.15,112200
CSTB2103,20210426,4.8,4.9,4.46,4.78,857300
CTCB2012,20210426,20.4,20.4,18.72,18.72,96400
CTCB2013,20210426,17.38,17.38,16.59,16.66,46100
CTCB2101,20210426,13.9,13.9,13.1,13.18,185400
CTCB2102,20210426,5.39,5.39,4.93,4.96,270300
CTCB2103,20210426,5.72,5.72,5.55,5.57,269600
CVPB2011,20210426,14.1,14.1,14.1,14.1,1000
CVPB2015,20210426,27.3,27.89,26.69,27.24,160800
CVPB2016,20210426,25.6,25.6,24.85,24.85,16600
CVPB2101,20210426,7.8,9.54,7.8,8.52,206900
CVPB2102,20210426,8.1,9.4,8.1,9.0,96300
CVPB2103,20210426,8.49,9.85,8.48,8.86,167700
VPB,20210423,49.25,51.0,48.8,51.0,17736800
VIB,20210423,53.0,53.3,51.5,53.3,934600
VCB,20210423,103.0,104.0,100.5,104.0,2285300
TPB,20210423,27.5,28.0,26.8,28.0,3974200
TCB,20210423,39.75,40.55,39.1,40.5,10600700
SSB,20210423,27.5,27.5,26.1,26.1,853900
STB,20210423,21.3,22.45,20.9,22.45,45227000
LPB,20210423,19.0,20.1,18.8,20.1,21139500
MBB,20210423,29.2,30.3,29.1,30.3,16710100
MSB,20210423,21.1,22.0,21.0,21.9,3599100
OCB,20210423,22.2,23.0,22.1,23.0,3546200
EIB,20210423,24.95,26.95,24.65,26.95,1069800
